Id	Source	Nucleotide Accession	Start	Stop	Strand	Protein	Protein Name	Organism	Strain	Assembly
130622989	RefSeq	NZ_FQZT01000024.1	24762	25643	-	WP_279626000.1	nitrogenase iron protein	Malonomonas rubra DSM 5091	DSM 5091	GCF_900142125.1
130622989	INSDC	FQZT01000024.1	24762	25643	-	SHJ90511.1	Mo-nitrogenase iron protein subunit NifH	Malonomonas rubra DSM 5091	DSM 5091	GCA_900142125.1
127799907	RefSeq	NZ_CP045300.1	757640	758521	+	WP_090120218.1	nitrogenase iron protein	Kosakonia arachidis	KACC 18508	GCF_009363135.1
127799907	RefSeq	NZ_FPAU01000001.1	1328842	1329723	-	WP_090120218.1	nitrogenase iron protein	Kosakonia arachidis	Ah-143	GCF_900116535.1
127799907	INSDC	FPAU01000001.1	1328842	1329723	-	SFT64989.1	Mo-nitrogenase iron protein subunit NifH	Kosakonia arachidis	Ah-143	GCA_900116535.1
123148115	RefSeq	NZ_FNGU01000006.1	91233	92111	-	WP_279615550.1	nitrogenase iron protein	Geoalkalibacter ferrihydriticus	DSM 17813	GCF_900103065.1
123148115	INSDC	FNGU01000006.1	91233	92111	-	SDM44764.1	Mo-nitrogenase iron protein subunit NifH	Geoalkalibacter ferrihydriticus	DSM 17813	GCA_900103065.1
91176004	RefSeq	NZ_CP010802.1	2785548	2786426	-	WP_279330548.1	nitrogenase iron protein	Desulfuromonas soudanensis	WTL	GCF_001278055.1
91176004	INSDC	CP010802.1	2785548	2786426	-	ALC17315.1	Mo-nitrogenase iron protein subunit NifH	Desulfuromonas soudanensis	WTL	GCA_001278055.1
72039072	RefSeq	NZ_CP010415.1	263359	264231	-	WP_039801084.1	nitrogenase iron protein	Azotobacter chroococcum NCIMB 8003	NCIMB 8003	GCF_000817975.1
72039072	RefSeq	NZ_CP011835.1	263733	264605	-	WP_039801084.1	nitrogenase iron protein	Azotobacter chroococcum	B3	GCF_002220155.1
72039072	RefSeq	NZ_CP045302.1	794952	795824	+	WP_039801084.1	nitrogenase iron protein	Azotobacter salinestris	KACC 13899	GCF_009363155.1
72039072	RefSeq	NZ_CP066310.1	241142	242014	-	WP_039801084.1	nitrogenase iron protein	Azotobacter chroococcum	HR1	GCF_016406165.1
72039072	RefSeq	NZ_SJAA01000038.1	35389	36261	-	WP_039801084.1	nitrogenase iron protein	Azotobacter chroococcum	ATCC 9043	GCF_004327905.1
72039072	RefSeq	NZ_SJAB01000032.1	6259	7131	+	WP_039801084.1	nitrogenase iron protein	Azotobacter chroococcum	P207	GCF_004327885.1
72039072	RefSeq	NZ_SJAD01000029.1	46486	47358	-	WP_039801084.1	nitrogenase iron protein	Azotobacter chroococcum	P204	GCF_004327955.1
72039072	RefSeq	NZ_SMMU01000027.1	35357	36229	-	WP_039801084.1	nitrogenase iron protein	Azotobacter chroococcum	DSM 2286	GCF_004339665.1
72039072	RefSeq	NZ_SWKB01000242.1	9657	10529	-	WP_039801084.1	nitrogenase iron protein	Azotobacter chroococcum	P208	GCF_005144545.1
